관광지,url,촬영장소,검색 키워드
가리산 레포츠파크,http://tong.visitkorea.or.kr/cms2/website/71/2778571.jpg,강원도 홍천군 두촌면,"가리산 레포츠파크,강원도 홍천군,가리산자연휴양림,테마파크,포레스트 어드벤처,가을,추경,단풍,드론촬영,드론사진,항공촬영"
가마,http://tong.visitkorea.or.kr/cms2/website/97/1859697.jpg,경상북도 영양군,가마
가면축제_롯데월드,http://tong.visitkorea.or.kr/cms2/website/87/1038887.jpg,서울 롯데월드,"롯데월드 가면축제,마스크 퍼레이드,놀이동산,놀이공원,축제,FIT"
가산산성,http://tong.visitkorea.or.kr/cms2/website/86/1055486.jpg,경상북도 칠곡군,가산산성
가실성당,http://tong.visitkorea.or.kr/cms2/website/42/1054542.jpg,경상북도 칠곡군,칠곡 가실성당
가야금,http://tong.visitkorea.or.kr/cms2/website/19/1887319.jpg,전라북도 전주시,"2013 중요무형문화재 보유자작품전,문화재청국립무형유산원,(사)한국무형유산진흥센터,전통악기,민속악기,가야금,중요무형문화재 전수교육조교 김영열,전라북도전주시,전라북도 전주시"
가야산의 가을,http://tong.visitkorea.or.kr/cms2/website/57/2760957.jpg,경상남도 합천군,"2021 대한민국 관광공모전(사진),가야산의 가을,경상남도 합천군,가야산 국립공원,가을,추경,단풍,드론촬영,드론사진,항공촬영"
가야산의 여름,http://tong.visitkorea.or.kr/cms2/website/43/2620343.jpg,경상북도 성주군 수륜면,"2019 제47회 대한민국 관광사진 공모전,입선,가야산의 여름,경상북도 성주군,칠불봉,산등성이,능선,자연"
가오실지,http://tong.visitkorea.or.kr/cms2/website/96/1989296.jpg,경상북도 예천군,"가오실지,예천 연못,연못,버드나무,인공섬,단풍"
가우도,http://tong.visitkorea.or.kr/cms2/website/42/2631742.jpg,전라남도 강진군 도암면,"가우도,전라남도 강진군,섬"
가우도 출렁다리,http://tong.visitkorea.or.kr/cms2/website/57/2631757.jpg,전라남도 강진군 도암면,"가우도 출렁다리,전라남도 강진군,교량,산책로,산책길,드론촬영,드론사진,항공촬영"
가은영상타운,http://tong.visitkorea.or.kr/cms2/website/76/2012576.jpg,경상북도 문경시,"가은영상타운,문경 가은영상타운,문경,가은영상세트장,가은세트장,연개소문 촬영지,고구려 세트장,사극 드라마 세트장,고구려궁"
가은오픈세트장,http://tong.visitkorea.or.kr/cms2/website/19/2393619.jpg,경상북도 문경시    ,"가은오픈세트장,경상북도,체험관광,촬영장소,드라마 촬영지,가은영상타운,문경 가은영상타운,문경,가은영상세트장,가은세트장,연개소문 촬영지,고구려 세트장,사극 드라마 세트장"
가을 규봉암,http://tong.visitkorea.or.kr/cms2/website/75/2620275.jpg,광주광역시 북구,"2019 제47회 대한민국 관광사진 공모전,입선,가을 규봉암,광주광역시 북구,암자,무등산국립공원"
가을 선운사,http://tong.visitkorea.or.kr/cms2/website/36/2620336.jpg,전라북도 고창군 아산면,"2019 제47회 대한민국 관광사진 공모전,입선,가을 선운사,전라북도 고창군,절,사찰,추경,단풍"
가을 속 쌍계루,http://tong.visitkorea.or.kr/cms2/website/53/2761853.jpg,전라남도 장성군 장성읍,"2021 대한민국 관광공모전(스마트폰-가을),가을 속 쌍계루,전라남도 장성군,반영,정자,돌다리,단풍나무,숲,공원,자연,연못"
가을 속으로..,http://tong.visitkorea.or.kr/cms2/website/53/2620253.jpg,전라북도 고창군 아산면,"2019 제47회 대한민국 관광사진 공모전,입선,가을 속으로..,전라북도 고창군,선운사,도솔천,추경,가을,단풍"
